Geo Point,rd_seg_id,marker_id,bay_id,meter_id,rd_seg_dsc,last_edit
"-37.804929469979555, 144.95531541852046",20945.0,,23297,,Capel Street between Victoria Street and Queensberry Street,20210413090425.0
"-37.825301587102594, 144.9698535803343",22082.0,9839S,17497,,Grant Street between St Kilda Road and Wells Street,20201208141706.0
"-37.828441845306095, 144.96631403508965",22108.0,9515S,14254,,Miles Street between Dodds Street and Sturt Street,20201208141327.0
"-37.812516656572356, 144.96246892723246",20167.0,,23089,,Elizabeth Street between Little Bourke Street and Lonsdale Street,20210412095527.0
"-37.80731551825918, 144.96989829015948",21599.0,,14594,,Victoria Street between La Trobe Street and Rathdowne Street,20201208141353.0
"-37.811819447651004, 144.9599462583171",20042.0,3454N,15472,,Little Lonsdale Street between Elizabeth Street and Queen Street,20201208141446.0
"-37.79050668279866, 144.9439004389701",22425.0,,13419,,Flemington Road between Melrose Street and Dryburgh Street,20201208141229.0
"-37.79613285841076, 144.96825494140643",20685.0,,17730,,Palmerston Street between Drummond Street and Lygon Street,20201208141720.0
"-37.7827084126121, 144.94170251265723",22403.0,,6286,,Oak Street between Poplar Road and Manningham Street,20201223122249.0
"-37.81036953332847, 144.9691257355821",20003.0,,8511,,Lonsdale Street between Exhibition Street and Russell Street,20201208140723.0
"-37.837010391646494, 144.98613992775287",22240.0,,3350,,Mona Place from Punt Road,20201223122245.0
"-37.83814892181853, 144.98435224080802",22219.0,,19600,,Toorak Road between Marne Street and Walsh Street,20201208141917.0
"-37.799516584922635, 144.95307243875985",21141.0,,13209,,Villiers Street between Flemington Road and Courtney Street,20201208141217.0
"-37.803727893898795, 144.96479278073286",20506.0,,11633,,Cardigan Street between Queensberry Street and Argyle Place South,20201208141047.0
"-37.80529735799622, 144.9571805269322",20931.0,,23653,,Cobden Street between Victoria Street and Princess Street,20210616094126.0
"-37.79937739761017, 144.97290525278981",20616.0,,1582,,Faraday Street between Nicholson Street and Canning Street,20201223122240.0
"-37.833262761124985, 144.98092134156144",22706.0,,20685,,Birdwood Avenue between Dallas Brooks Drive and Domain Road,20201208142037.0
"-37.80170475369054, 144.96323938686297",20839.0,,23550,,Lincoln Square North between Swanston Street and Bouverie Street,20210616094126.0
"-37.80377342342567, 144.9510010725266",20980.0,C6396,11919,,Leveson Street between Victoria Street and Queensberry Street,20201208141104.0
"-37.80973562032321, 144.97678307698555",20891.0,12281S,21372,,Albert Street between Morrison Place and Lansdowne Street,20210302110504.0
"-37.80547195324598, 144.9514755591938",20979.0,,2856,,Victoria Street between Chetwynd Street and Leveson Street,20201223122242.0
"-37.819264910549975, 144.94577454414696",22801.0,C13520,21985,,Bourke Street between Harbour Esplanade and Enterprize Way,20201208142200.0
"-37.82028087406426, 144.93981733821892",23378.0,,22656,,Collins Street between Sailmaker Way and North Wharf Road,20210203112511.0
"-37.81100892998274, 144.98622184430286",21863.0,,4403,,Powlett Street between Grey Street and Albert Street,20201223122246.0
"-37.820271080662174, 144.94712869504195",22448.0,13313W,21037,HRW21,Harbour Esplanade between Collins Street and Bourke Street,20201208142059.0
"-37.795802830726295, 144.9349460537683",21270.0,,6734,,Hardiman Street between Bent Street and Albermarle Street,20201223122249.0
"-37.81057847854143, 144.95209532330432",21516.0,C8034,17813,,Batman Street between Spencer Street and King Street,20201208141726.0
"-37.79704391017537, 144.95674764202",22595.0,,3614,,Story Street between Royal Parade and Fitzgibbon Street,20201223122245.0
"-37.818284034652784, 144.97906510599285",21980.0,15104N,15403,,Jolimont Street between Jolimont Lane and Jolimont Road,20201223122253.0
"-37.821514540294515, 144.97480773670844",22188.0,,22268,,Boathouse Drive between St Kilda Road and Alexandra Avenue,20201218134547.0
"-37.81597112969981, 144.9806842478983",21963.0,12547S,23990,,Wellington Parade between Clarendon Street and Jolimont Road,20210531120655.0
"-37.802981377189276, 144.95505132886595",21108.0,,22938,,Courtney Street between Queensberry Street and Howard Street,20210305154209.0
"-37.81709216883832, 144.9683707630624",20212.0,1634N,23064,,Flinders Street between Russell Street and Swanston Street,20210311112025.0
"-37.781730517537596, 144.95049622371204",,,16927,,,20201208141630.0
"-37.79522343907193, 144.95434639167348",22341.0,,6153,,Morrah Street between Park Drive and Gatehouse Street,20201223122249.0
"-37.841022182241765, 144.97855472574702",22475.0,,7836,,Armadale Street from St Kilda Road,20201223122252.0
"-37.795334303906365, 144.93752395299566",21320.0,,5042,,Macaulay Road between Boundary Road and Langford Street,20201223122247.0
"-37.799826992488526, 144.96546572535433",20514.0,,22794,,Cardigan Street between Grattan Street and Faraday Street,20210705102015.0
"-37.828194988250715, 144.9650383919618",22120.0,,17401,,Miles Street between Sturt Street and Moore Street,20201208141701.0
"-37.804111787290125, 144.9510605187978",20980.0,6362E,11876,,Leveson Street between Victoria Street and Queensberry Street,20201208141100.0
"-37.810323493370134, 144.98208359523497",20898.0,,9946,,Albert Street between Clarendon Street and Eades Street,20210302110453.0
"-37.81455813059073, 144.98936677803064",21910.0,,8066,,Hotham Street between Hoddle Street and Simpson Street,20201223122252.0
"-37.788049422114376, 144.95705465424584",22436.0,,14830,,The Avenue between Leonard Street and MacArthur Road,20201208141408.0
"-37.825353793481185, 144.96063829457376",22048.0,8875W,13644,,City Road between Balston Street and Kings Way,20201208141242.0
"-37.79490294476616, 144.93114416908023",21261.0,,6552,,Eastwood Street between Hardiman Street and MacAulay Road,20201223122249.0
"-37.82874805947562, 144.97393301972645",22198.0,,21496,,Birdwood Avenue between Dallas Brooks Drive and Anzac Avenue,20210302110504.0
"-37.830710769972285, 144.9682488682901",22096.0,9170N,20907,,Dorcas Street between Wells Street and Dodds Street,20201208142052.0
"-37.80225353095639, 144.9561292912394",21120.0,,23213,,Bedford Street between Courtney Street and Peel Street,20210329125741.0
"-37.8049517117041, 144.96481997789226",20504.0,,15143,,Cardigan Street between Victoria Street and Queensberry Street,20201208141426.0
"-37.808497169004596, 144.95928147586164",21634.0,C6636,8687,,Franklin Street between Elizabeth Street and Queen Street,20201208140732.0
"-37.8010961687109, 144.96536444688633",20512.0,,11571,,Cardigan Street between Argyle Place North and Grattan Street,20201208141044.0
"-37.81930005086647, 144.98893042126628",21957.0,15272N,15322,,Vale Street South between Punt Road and Vale Street,20201223122253.0
"-37.84784028717615, 144.98115280536246",22311.0,,19698,,Moubray Street between St Kilda Road and Punt Road,20201208141922.0
"-37.80583792848259, 144.95214406916764",22661.0,C6064,12238,,Chetwynd Street between Stanley Street and Victoria Street,20201208141121.0
"-37.80851569431201, 144.95921746586993",21634.0,C6640,8685,,Franklin Street between Elizabeth Street and Queen Street,20201208140732.0
"-37.803724910153115, 144.9634937998834",20484.0,,12981,,Swanston Street between Queensberry Street and Lincoln Square South,20201208141205.0
"-37.78542473062514, 144.953755154621",,,17935,,,20201208141737.0
"-37.801669665087324, 144.94275395779644",21043.0,,5955,,Munster Terrace between Queensberry Street and Arden Street,20201223122249.0
"-37.82966513829158, 144.98466523856837",22716.0,20096E,2890,,Anderson Street between Clowes Street and St Leonards Court,20201223122244.0
"-37.80154830206166, 144.94386831452636",21044.0,,3894,,Dryburgh Street between Queensberry Street and Arden Street,20201223122246.0
"-37.81000839390549, 144.9461574690947",21473.0,,2670,,Stanley Street between Railway Place and Adderley Street,20201223122242.0
"-37.82916556280373, 144.9696817797379",22103.0,9287S,20299,,Coventry Street between St Kilda Road and Wells Street,20210302110500.0
"-37.804992330984184, 144.96167854916",20462.0,,17019,,Bouverie Street between Victoria Street and Queensberry Street,20201208141636.0
"-37.79426394913205, 144.97117560592088",20639.0,,858,,Rathdowne Street between Neill Street and Princes Street,20201223122239.0
"-37.821609446111054, 144.92683294354512",22144.0,,4662,,Hall Street between Lorimer Street and Turner Street,20201223122246.0
"-37.79849974183891, 144.94668229530447",21168.0,,3184,,Haines Street between Curzon Street and Abbotsford Street,20201223122244.0
"-37.836692407461946, 144.97921512727166",22261.0,,7986,,Hope Street between Toorak Road and Domain Road,20201223122252.0
"-37.82310485524654, 144.9094251687944",22168.0,,5508,,Lorimer Street between West Gate Bridge and Todd Road,20201223122248.0
"-37.80753996366034, 144.95829819761596",21629.0,C7048,14048,,Therry Street between Elizabeth Street and Queen Street,20201208141306.0
"-37.7881024438017, 144.957061934618",22436.0,,14831,,The Avenue between Leonard Street and MacArthur Road,20201208141408.0
"-37.778937669841426, 144.94235901995802",,,8129,,,20201223122252.0
"-37.776511335690294, 144.94672416233612",22398.0,,2691,,Park Street between Oak Street and West Coburg Tramway,20201223122242.0
"-37.803095176798884, 144.96906013256765",21556.0,,10306,,Pelham Street between Rathdowne Street and Drummond Street,20201208140903.0
"-37.8115462707625, 144.95312951067285",21514.0,11503S,10224,,Jeffcott Street between Spencer Street and King Street,20201208140859.0
"-37.80346595955939, 144.96194613346844",20464.0,,18418,,Bouverie Street between Queensberry Street and Lincoln Square South,20201208141808.0
"-37.81204985192738, 144.98315351148855",22622.0,12061W,7211,IAW5,Clarendon Street between Gipps Street and Grey Street,20201223122251.0
"-37.78174916036102, 144.95007328419845",,,16858,,,20201208141627.0
"-37.816122703099765, 144.96826081418695",20125.0,,22222,,Flinders Lane between Russell Street and Swanston Street,20201208142212.0
"-37.817925755820816, 144.95439338240385",20105.0,,15910,,Little Collins Street between King Street and Spencer Street,20201208141524.0
"-37.79347362867785, 144.9185222219544",21812.0,,6698,,Willis Street between Stockmans Way and The Crescent,20201223122249.0
"-37.781871625504195, 144.9522367957625",,,16370,,,20201208141559.0
"-37.832141094550664, 144.98594909793636",22287.0,20351W,16327,,Walsh Street between Acland Street and Clowes Street,20201223122254.0
"-37.81111591996584, 144.95017436776752",21494.0,,10155,,Batman Street between Adderley Street and Spencer Street,20201208140856.0
"-37.83005410321406, 144.9118171144511",22165.0,,4375,,Todd Road between Cook Street and Wharf Road,20201223122246.0
"-37.798804800310116, 144.9221496348111",21741.0,,4547,,Childers Street between Ormond Street and Kensington Road,20201223122246.0
"-37.82389249984389, 144.92254782201783",22148.0,,7409,,Turner Street between Salmon Street and Douglas Street,20201223122251.0
"-37.82982449710763, 144.9855564949413",22277.0,20272E,15937,,St Leonards Court from Anderson Street,20201223122254.0
"-37.7940369222539, 144.91871884758757",21789.0,,5574,,The Crescent between Mercantile Parade and Gatehouse Drive,20201223122248.0
"-37.80341635424405, 144.96526086940713",20751.0,,10448,,Argyle Place South between Lygon Street and Cardigan Street,20201208140914.0
