distance,twoPs
7653,A7_A23
3540,A7_A24
1158,A7_A25
8908,A7_A26
2946,A7_A27
1038,A7_A28
4079,A7_A29
6790,A7_A30
5474,A7_A31
5048,A7_A32
3304,A7_A33
2600,A7_A34
1094,A7_A35
4748,A7_A36
5264,A7_A37
3543,A7_A38
21474,A7_A39
4336,A7_A40
4040,A7_A41
3571,A7_A42
5720,A7_A43
1301,A7_A44
2777,A7_A45
580,A7_A46
22255,A7_A47
5721,A7_A48
848,A7_A49
9503,A7_A50
6311,A7_A51
3736,A7_A52
7930,A7_A53
1970,A7_A54
574,A7_A55
2014,A7_A56
2142,A7_A57
2706,A7_A58
4207,A7_A59
2134,A7_A60
5825,A7_A61
6680,A7_A62
452,A7_A63
3451,A7_A64
2450,A7_A65
1272,A7_A66
2618,A7_A67
21968,A7_A68
4557,A7_A69
1123,A7_A70
799,A7_A71
7767,A7_A72
1928,A7_A73
5273,A7_A74
1255,A7_A75
562,A7_A76
21956,A7_A77
6064,A7_A78
5378,A7_A79
1443,A7_A80
2042,A7_A81
3405,A7_A82
1557,A7_A83
2064,A7_A84
1787,A7_A85
5354,A7_A86
3192,A7_A87
2845,A7_A88
2177,A7_A89
3211,A7_A90
2734,A7_A91
2723,A7_A92
2467,A7_A93
1742,A7_A94
4767,A7_A95
1334,A7_A96
3758,A7_A97
3867,A7_A98
2301,A7_A99
3172,A7_A100
0,A8_A8
4467,A8_A9
4417,A8_A10
4304,A8_A11
1209,A8_A12
21791,A8_A13
9371,A8_A14
601,A8_A15
4863,A8_A16
4365,A8_A17
4131,A8_A18
3456,A8_A19
4641,A8_A20
1794,A8_A21
3654,A8_A22
7408,A8_A23
3675,A8_A24
1286,A8_A25
8828,A8_A26
3104,A8_A27
825,A8_A28
4287,A8_A29
6792,A8_A30
5612,A8_A31
5169,A8_A32
3501,A8_A33
2780,A8_A34
1100,A8_A35
4957,A8_A36
5390,A8_A37
3209,A8_A38
21303,A8_A39
4429,A8_A40
4261,A8_A41
3834,A8_A42
5853,A8_A43
1520,A8_A44
2989,A8_A45
675,A8_A46
22073,A8_A47
5854,A8_A48
563,A8_A49
9180,A8_A50
6534,A8_A51
3864,A8_A52
7685,A8_A53
1744,A8_A54
767,A8_A55
1882,A8_A56
2118,A8_A57
2791,A8_A58
4444,A8_A59
1936,A8_A60
6000,A8_A61
6883,A8_A62
522,A8_A63
3625,A8_A64
2564,A8_A65
1487,A8_A66
2724,A8_A67
21790,A8_A68
4750,A8_A69
1340,A8_A70
1070,A8_A71
7462,A8_A72
1777,A8_A73
5410,A8_A74
1418,A8_A75
770,A8_A76
21778,A8_A77
6242,A8_A78
5500,A8_A79
1262,A8_A80
1713,A8_A81
3495,A8_A82
1851,A8_A83
1743,A8_A84
1793,A8_A85
5505,A8_A86
3467,A8_A87
2964,A8_A88
2347,A8_A89
3256,A8_A90
2968,A8_A91
2407,A8_A92
2141,A8_A93
1668,A8_A94
4879,A8_A95
1174,A8_A96
3908,A8_A97
4000,A8_A98
2506,A8_A99
3247,A8_A100
0,A9_A9
630,A9_A10
454,A9_A11
5019,A9_A12
21534,A9_A13
12405,A9_A14
4253,A9_A15
968,A9_A16
437,A9_A17
488,A9_A18
1132,A9_A19
1464,A9_A20
3185,A9_A21
