bay_id,st_marker_id,status,location,lat,lon
47,12286,Present,"-37.79954466358452, 144.95286625789464",-37.79954466358452,144.95286625789464
48,12288,Present,"-37.79946438860182, 144.9529675395185",-37.79946438860182,144.9529675395185
49,13911,Present,"-37.802139421346695, 144.95597162202563",-37.802139421346695,144.95597162202563
50,18690,Present,"-37.80094521220242, 144.95633776321665",-37.80094521220242,144.95633776321665
51,22020,Unoccupied,"-37.7991279797034, 144.95372184742118",-37.7991279797034,144.95372184742118
52,21965,Present,"-37.80120374118184, 144.95535310063323",-37.80120374118184,144.95535310063323
53,21966,Present,"-37.80116560317752, 144.9554013846141",-37.80116560317752,144.9554013846141
54,18541,Unoccupied,"-37.82036118766382, 144.94934658436222",-37.82036118766382,144.94934658436222
55,18543,Present,"-37.82032504158805, 144.94947200079122",-37.82032504158805,144.94947200079122
56,18591,Unoccupied,"-37.819298264946426, 144.94842308337525",-37.819298264946426,144.94842308337525
57,18587,Present,"-37.8190753803286, 144.94841441212307",-37.8190753803286,144.94841441212307
58,18216,Present,"-37.81904291452686, 144.9486263156918",-37.81904291452686,144.9486263156918
59,18219,Present,"-37.81888081526091, 144.9486200029093",-37.81888081526091,144.9486200029093
60,18578,Present,"-37.81947516936889, 144.94864299122224",-37.81947516936889,144.94864299122224
61,18572,Present,"-37.819150974190535, 144.9486304824879",-37.819150974190535,144.9486304824879
62,18574,Unoccupied,"-37.81925903876768, 144.9486346230608",-37.81925903876768,144.9486346230608
63,20585,Unoccupied,"-37.821157764096235, 144.94720063255332",-37.82115776409624,144.94720063255332
64,20615,Unoccupied,"-37.819488421546396, 144.94367189499434",-37.8194884215464,144.94367189499434
65,20616,Unoccupied,"-37.81943255084539, 144.9436462355852",-37.81943255084539,144.9436462355852
66,20905,Unoccupied,"-37.819787903901265, 144.94535961530102",-37.81978790390127,144.94535961530102
67,20918,Unoccupied,"-37.82034602968902, 144.94540985617547",-37.82034602968902,144.94540985617547
68,20902,Unoccupied,"-37.81905277938037, 144.94427899372255",-37.81905277938037,144.94427899372255
69,20587,Unoccupied,"-37.82022609875878, 144.94732041459912",-37.82022609875878,144.94732041459912
70,20593,Unoccupied,"-37.81976625800448, 144.94712610154536",-37.81976625800448,144.94712610154536
71,20594,Unoccupied,"-37.819681112971296, 144.94708588417404",-37.819681112971296,144.94708588417404
72,21487,Unoccupied,"-37.81995484402639, 144.94701032999654",-37.81995484402639,144.94701032999654
73,20610,Unoccupied,"-37.82098021717879, 144.94532883160008",-37.82098021717879,144.94532883160008
74,20611,Present,"-37.820968411144975, 144.94542171622925",-37.820968411144975,144.94542171622925
75,20602,Present,"-37.820276033421884, 144.9444437103526",-37.82027603342189,144.9444437103526
76,20606,Unoccupied,"-37.82030601649336, 144.94455974638834",-37.82030601649336,144.94455974638834
77,20619,Unoccupied,"-37.819574174483726, 144.94585871569194",-37.819574174483726,144.94585871569194
78,20620,Unoccupied,"-37.819628379328385, 144.94587207423348",-37.81962837932839,144.94587207423348
79,20923,Present,"-37.82031472881724, 144.946051358879",-37.82031472881724,144.946051358879
80,15329,Unoccupied,"-37.818685332033624, 144.94808038310032",-37.81868533203362,144.94808038310032
