GISID,SegID,the_geom,StreetID,StatusID,SegPart,StrType,DTUpdate,PolyArea,SegDescr
872,22698,"-37.8268443785353, 144.97358048523006",667,2,1,Council Major,20210923,4127,Government House Drive from Birdwood Avenue
870,22190,"-37.8210343151932, 144.97113565048073",376,1,1,Arterial,20210923,8196,Alexandra Avenue between St Kilda Road and Linlithgow Avenue
195,30261,"-37.79596466789637, 144.973738217484",1480,4,1,Private,20210923,38,PL5011
882,22206,"-37.83542058746041, 144.97622253690832",284,3,1,Council Minor,20210923,144,Cl1291 from Arnold Street
3407,20313,"-37.81531786344979, 144.96412508085785",409,3,1,Council Minor,20210923,191,Balcombe Place from Little Collins Street
230,30306,"-37.796567049902755, 144.94358183396577",3126,4,1,Private,20210923,19,Pl5327
2790,21205,"-37.79859265229801, 144.949944574355",684,3,1,Council Minor,20210923,134,Haines Place from Haines Street
967,22297,"-37.833587740233945, 144.98687575587712",1185,2,1,Council Major,20210923,1448,Witchwood Close from Punt Road
2795,20912,"-37.79875376896745, 144.94887475532622",0,1,1,Arterial,20210923,910,Intersection of Curzon Street and Haines Street
1579,20529,"-37.80209860372383, 144.96669433446294",840,2,1,Council Major,20210923,914,Intersection of Lygon Street and Argyle Place North
2113,22863,"-37.82512294019695, 144.94692645416214",117947,3,1,Council Minor,20210923,199,Cargo Lane from Lorimer Street
3556,22645,"-37.827137989671684, 144.98635581775787",3080,12,14,Citylink,20210923,20159,Monash Freeway between Southern Link Road and Boulton Parade
3461,20173,"-37.81550397047934, 144.9609292441143",1010,2,1,Council Major,20210923,3011,Queen Street between Little Collins Street and Bourke Street
705,22946,"-37.79249159388699, 144.94533059781543",585,2,1,Council Major,20210923,1564,Dryburgh Street between Curran Street and Flemington Road
2691,21077,"-37.8020005445934, 144.9490553436432",659,3,1,Council Minor,20210923,1012,Glass Street between Curzon Street and Errol Street
664,23186,"-37.79174119529889, 144.9259667883814",120145,3,1,Council Minor,20210923,375,Danks Lane between Epsom Road and Percy Street
3185,20259,"-37.81388646208781, 144.97000558880586",377,3,1,Council Minor,20210923,642,Alfred Place between Collins Street and Little Collins Street
4017,23151,"-37.82093073938703, 144.9442449743199",117952,3,3,Council Minor,20210923,1438,Merchant Street between Bourke Street and Collins Street
1297,21452,"-37.80745296242295, 144.9439377058137",367,2,1,Council Major,20210923,1707,Abbotsford Street between Adderley Street and Ireland Street
1570,20538,"-37.79487069474774, 144.96794545416665",840,2,1,Council Major,20210923,6603,Lygon Street between Palmerston Street and Lytton Street
3238,20147,"-37.81530390682033, 144.9692454072176",1045,2,1,Council Major,20210923,2842,Russell Street between Flinders Lane and Collins Street
3058,20069,"-37.81960371171172, 144.9544046690862",1086,1,1,Arterial,20210923,2956,Spencer Street between Flinders Lane and Collins Street
370,22920,"-37.77756757400572, 144.9418729918235",119271,2,1,Council Major,20210923,317,Intersection of Parkville Avenue and Strickland Road
1342,22488,"-37.82410027953653, 144.98853282908973",1004,1,1,Arterial,20210923,3465,Punt Road between Brunton Avenue and Olympic Boulevard
2880,21053,"-37.800366047598956, 144.9444710360041",395,2,1,Council Major,20210923,1889,Arden Street between Lothian Street and Dryburgh Street
1577,20531,"-37.80073982259617, 144.96692950564722",0,2,1,Council Major,20210923,922,Intersection of Lygon Street and Grattan Street
2220,21270,"-37.79577414326103, 144.9342684568666",688,2,1,Council Major,20210923,2927,Hardiman Street between Bent Street and Albermarle Street
3911,23262,"-37.82281399054405, 144.93795260901166",120034,2,1,Council Major,20210923,611,Foundry Way between Lorimer Street and South Wharf Drive
1811,20570,"-37.79496071957399, 144.97094204840297",1024,2,1,Council Major,20210923,898,Intersection of Rathdowne Street and Kay Street
301,30384,"-37.80118924766691, 144.95464319795835",2951,4,1,Private,20210923,31,Pl5196
3449,20185,"-37.81424282000154, 144.9575541104444",1179,2,1,Council Major,20210923,2910,William Street between Little Bourke Street and Lonsdale Street
