st_marker_id,lon,lat
A75,-73.98657989501953,40.75658798217773
A76,-73.98641967773438,40.7628288269043
A77,-73.78205108642578,40.644657135009766
A78,-74.00035095214845,40.71446990966797
A79,-73.9864501953125,40.719486236572266
A80,-73.97116088867188,40.76088333129882
A81,-73.96173095703125,40.77106094360352
A82,-73.98135375976561,40.73740005493164
A83,-73.99744415283203,40.7570915222168
A84,-73.9611587524414,40.76910400390625
A85,-73.97722625732422,40.75308227539063
A86,-73.99263000488281,40.71999740600586
A87,-74.00707244873048,40.7441864013672
A88,-73.98493957519531,40.74227142333984
A89,-73.98917388916014,40.74845504760742
A90,-73.97624969482422,40.7398567199707
A91,-73.9984130859375,40.74525833129882
A92,-73.95969390869139,40.782501220703125
A93,-73.95655059814453,40.77066040039063
A94,-73.97313690185547,40.75535583496094
A95,-73.98439025878906,40.7249870300293
A96,-73.98120880126953,40.77936935424805
A97,-73.9898681640625,40.73421096801758
A98,-73.98745727539062,40.73310089111328
A99,-73.9929962158203,40.7479248046875
A100,-73.97968292236328,40.73967361450195
A101,-73.99349975585938,40.75727081298828
A102,-74.00718688964845,40.72721862792969
A103,-73.78202056884764,40.64470291137695
A104,-73.98194122314453,40.7678108215332
A105,-73.9866485595703,40.74000930786133
A106,-73.99785614013672,40.74091339111328
A107,-73.98167419433594,40.7435417175293
A108,-73.98506927490233,40.76002883911133
A109,-73.98595428466798,40.752265930175774
A110,-73.98773956298828,40.728458404541016
A111,-73.97211456298828,40.78662109375
A112,-74.00194549560547,40.724491119384766
A113,-73.99700164794923,40.722694396972656
A114,-73.98197937011719,40.77498626708984
A115,-73.96947479248048,40.75613021850586
A116,-74.00442504882812,40.74771499633789
A117,-74.00344848632812,40.73868179321289
A118,-73.9550552368164,40.801753997802734
A119,-73.963134765625,40.77483749389648
A120,-73.9886474609375,40.729000091552734
A121,-73.98807525634764,40.72287368774414
A122,-73.88536071777342,40.77306365966797
A123,-73.98801422119139,40.72138595581056
A124,-73.9548568725586,40.78038024902344
A125,-74.00588226318358,40.740142822265625
A126,-73.98900604248048,40.75854110717773
A127,-73.94744873046875,40.781883239746094
A128,-73.99046325683594,40.7458610534668
A129,-73.95368957519531,40.78212738037109
A130,-73.98023223876953,40.7429313659668
A131,-73.77670288085938,40.645267486572266
A132,-73.9652328491211,40.755069732666016
A133,-73.96910858154298,40.790840148925774
A134,-73.98772430419923,40.76028060913086
A135,-73.98297119140625,40.73078536987305
A136,-73.95970916748048,40.71398162841797
A137,-73.99227142333984,40.7250862121582
A138,-73.99722290039062,40.7192268371582
A139,-73.97327423095702,40.7529296875
A140,-73.9735107421875,40.75239181518555
A141,-73.9753646850586,40.76074600219727
A142,-73.98255920410156,40.749378204345696
A143,-73.98229217529298,40.77141571044922
A144,-73.78997039794923,40.647071838378906
A145,-74.00320434570312,40.72777557373047
A146,-73.96218872070312,40.75918960571289
A147,-73.98587036132812,40.74696731567384
A148,-73.97383880615233,40.76317596435546
A149,-73.98359680175781,40.74394989013672
A150,-73.97203826904298,40.76277160644531
A151,-73.99015045166014,40.7619514465332
A152,-73.9781723022461,40.7834587097168
A153,-74.00182342529298,40.74568557739258
A154,-74.00444030761719,40.707889556884766
A155,-74.00425720214845,40.731178283691406
A156,-73.9877700805664,40.72119140625
A157,-73.97542572021484,40.78701400756836
A158,-73.98361206054686,40.746849060058594
A159,-73.97574615478516,40.78654861450195
A160,-73.9841537475586,40.68819046020508
A161,-73.95186614990233,40.79010391235352
A162,-73.96215057373048,40.713260650634766
A163,-73.99282836914062,40.73022079467773
A164,-73.98496246337889,40.769161224365234
A165,-73.9236602783203,40.70721054077149
A166,-73.95189666748048,40.76964569091797
A167,-73.87088775634764,40.77370071411133
A168,-73.7901611328125,40.6469612121582
A169,-73.98805236816406,40.72869873046875
A170,-74.00147247314453,40.73103332519531
A171,-73.99442291259764,40.75614929199219
A172,-73.99712371826173,40.7469596862793
A173,-73.99696350097656,40.72063064575195
A174,-73.98136901855469,40.72993087768555
A175,-74.00769805908203,40.71017074584961
A176,-74.00226593017578,40.739593505859375
A177,-73.95500946044923,40.7734260559082
A178,-73.9869842529297,40.73320770263672
A179,-73.96753692626953,40.75642013549805
A180,-73.98285675048828,40.73550033569336
A181,-73.77674102783203,40.64514923095703
A182,-73.96842956542967,40.7551383972168
A183,-73.97840118408203,40.76678085327149
A184,-73.99154663085938,40.7269401550293
A185,-73.98204040527344,40.77098083496094
A186,-73.98564147949219,40.72771453857422
A187,-73.95596313476561,40.77595901489258
A188,-73.98583984375,40.7470817565918
A189,-73.99110412597656,40.745208740234375
A190,-73.98817443847656,40.727832794189446
A191,-74.0003204345703,40.7304801940918
A192,-73.99004364013672,40.7294807434082
A193,-73.98703002929686,40.73323059082031
A194,-73.95277404785155,40.778614044189446
A195,-73.95377349853516,40.77089309692384
A196,-73.98743438720702,40.73312759399414
A197,-73.96888732910156,40.7542381286621
A198,-74.00788116455078,40.74027633666992
A199,-74.00827026367188,40.7412223815918
A200,-73.95090484619139,40.77482604980469
A201,-73.98818969726561,40.74844741821289
A202,-73.94610595703125,40.78169631958008
A203,-74.00606536865233,40.73454666137695
A204,-73.98020172119139,40.73908996582031
A205,-73.97968292236328,40.74966812133789
A206,-73.99046325683594,40.75642013549805
A207,-73.98857879638672,40.722755432128906
A208,-73.99315643310547,40.72269821166992
A209,-74.01058959960938,40.720970153808594
A210,-73.9338607788086,40.802467346191406
A211,-73.9925765991211,40.75191116333008
A212,-73.97473907470702,40.76533126831056
A213,-74.00002288818358,40.7387580871582
A214,-73.9760513305664,40.7447509765625
A215,-74.00289154052734,40.73346328735352
A216,-73.95278930664062,40.78049850463867
A217,-73.99910736083984,40.73414993286133
A218,-74.00643157958984,40.70844650268555
A219,-73.97806549072266,40.7866325378418
A220,-73.98596954345702,40.76718521118164
A221,-73.99594116210938,40.74433135986328
A222,-73.98233032226561,40.76784896850586
A223,-73.98619079589844,40.730751037597656
A224,-73.98123168945312,40.74454879760742
A225,-74.01061248779298,40.717811584472656
A226,-73.98512268066406,40.73226165771485
