street_marker,RequestTime,tripDistance,aim_marker,lon,lat
A410,1,6000.0,A1410,-74.00662994384764,40.73109436035156
A411,1,1400.0,A1411,-73.98561096191406,40.74720001220703
A412,1,2100.0,A1412,-73.97122955322266,40.68950653076172
A413,1,5090.0,A1413,-74.0022964477539,40.739707946777344
A414,1,600.0,A1414,-73.97455596923827,40.68004608154297
A415,1,7430.0,A1415,-73.98648071289062,40.747589111328125
A416,1,12770.0,A1416,-73.94808197021484,40.778911590576165
A417,1,750.0,A1417,-73.994384765625,40.73537826538086
A418,1,1380.0,A1418,-73.99797821044923,40.74103164672852
A419,1,4300.0,A1419,-74.00251007080078,40.72651290893555
A420,1,5500.0,A1420,-73.9725570678711,40.78593444824219
A421,1,9320.0,A1421,-73.98857879638672,40.748565673828125
A422,1,8540.0,A1422,-73.98218536376953,40.74576568603516
A423,1,1600.0,A1423,-73.98623657226561,40.76709365844727
A424,1,10500.0,A1424,-73.99085235595702,40.75049209594727
A425,1,1200.0,A1425,-73.98192596435547,40.77294158935546
A426,1,4300.0,A1426,-73.9700469970703,40.79956817626953
A427,1,8850.0,A1427,-73.99712371826173,40.722198486328125
A428,1,18400.0,A1428,-74.00923919677734,40.725833892822266
A429,1,7130.0,A1429,-73.99127197265625,40.71604919433594
A430,1,7500.0,A1430,-73.9771957397461,40.76333618164063
A431,1,7500.0,A1431,-73.96697235107422,40.80393981933594
A432,1,1030.0,A1432,-73.98699951171875,40.7371482849121
A433,1,500.0,A1433,-73.99361419677734,40.74159240722656
A434,1,1190.0,A1434,-74.00460815429686,40.74216842651367
A435,1,1630.0,A1435,-73.98507690429686,40.74225234985352
A436,1,860.0,A1436,-73.98838043212889,40.731536865234375
A437,1,2210.0,A1437,-73.99331665039062,40.71997833251953
A438,1,1800.0,A1438,-74.00100708007811,40.72585678100586
A439,1,700.0,A1439,-73.99195861816406,40.76478958129882
A440,1,2400.0,A1440,-73.9788589477539,40.75041961669922
A441,1,530.0,A1441,-73.96858978271484,40.76197814941406
A442,1,4200.0,A1442,-73.97542572021484,40.65496444702149
A443,1,7900.0,A1443,-74.00067138671875,40.747108459472656
A444,1,3360.0,A1444,-73.97606658935547,40.78630065917969
A445,1,4540.0,A1445,-73.99022674560547,40.76167678833008
A446,1,8550.0,A1446,-73.98979187011719,40.76054382324219
A447,1,2800.0,A1447,-73.97828674316406,40.766300201416016
A448,1,1300.0,A1448,-73.96038055419923,40.76141357421875
A449,1,6000.0,A1449,-73.9503402709961,40.77157211303711
A450,1,1300.0,A1450,-73.98827362060547,40.738616943359375
A451,1,2100.0,A1451,-73.98429870605469,40.74878692626953
A452,1,2610.0,A1452,-73.99661254882812,40.763309478759766
A453,1,2560.0,A1453,-73.98741912841797,40.74169158935546
A454,1,6600.0,A1454,-73.99540710449217,40.74435424804688
A455,1,640.0,A1455,-73.99215698242188,40.725711822509766
A456,1,3110.0,A1456,-74.0052719116211,40.72568130493164
A457,1,5990.0,A1457,-73.9911880493164,40.73337173461913
A458,1,4610.0,A1458,-73.98885345458984,40.76364135742188
A459,1,6910.0,A1459,-73.99513244628906,40.72512435913086
A460,1,2420.0,A1460,-73.98604583740233,40.72259140014648
A461,1,5000.0,A1461,-73.98728942871094,40.75558090209961
A462,1,1400.0,A1462,-73.97506713867188,40.7530403137207
A463,1,2000.0,A1463,-74.00146484375,40.727813720703125
A464,1,600.0,A1464,-73.95204162597656,40.77781677246094
A465,1,580.0,A1465,-73.98636627197266,40.7219352722168
A466,1,1900.0,A1466,-73.98291778564453,40.77181243896485
A467,1,600.0,A1467,-73.99748229980467,40.74661636352539
A468,1,7400.0,A1468,-73.99188995361328,40.75242614746094
A469,1,400.0,A1469,-73.98282623291014,40.74362182617188
A470,1,600.0,A1470,-73.98745727539062,40.733001708984375
A471,1,1200.0,A1471,-73.97099304199217,40.75521087646485
A472,1,1700.0,A1472,-73.9861068725586,40.734649658203125
A473,1,4100.0,A1473,-73.98111724853516,40.763233184814446
A474,1,7460.0,A1474,-73.99237060546875,40.72504806518555
A475,1,2100.0,A1475,-73.98088073730467,40.7598762512207
A476,1,3130.0,A1476,-73.97962951660156,40.74642181396485
A477,1,1300.0,A1477,-74.00556945800781,40.72574615478516
A478,1,3670.0,A1478,-73.95088195800781,40.77907180786133
A479,1,2200.0,A1479,-73.97831726074217,40.76650619506836
A480,1,1700.0,A1480,-74.0103759765625,40.71833419799805
A481,1,1800.0,A1481,-74.00708770751953,40.71609878540039
A482,1,2250.0,A1482,-73.95764923095702,40.70827102661133
A483,1,1680.0,A1483,-74.0042724609375,40.742385864257805
A484,1,5900.0,A1484,-74.00521087646483,40.71956634521485
A485,1,2400.0,A1485,-73.98505401611328,40.73622131347656
A486,1,3200.0,A1486,-73.94664764404298,40.78068923950195
A487,1,800.0,A1487,-74.00660705566406,40.73376083374024
A488,1,3310.0,A1488,-73.9693603515625,40.79799270629882
A489,1,1800.0,A1489,-73.99932098388672,40.728328704833984
A490,1,1610.0,A1490,-73.99239349365233,40.73468017578125
A491,1,10860.0,A1491,-73.87109375,40.77385330200195
A492,1,3200.0,A1492,-73.94831848144531,40.77443313598633
A493,1,8700.0,A1493,-73.98326110839844,40.74402618408203
A494,1,1900.0,A1494,-73.9671401977539,40.7563934326172
A495,1,980.0,A1495,-73.9599609375,40.76242065429688
A496,1,2500.0,A1496,-73.99243927001953,40.73063659667969
A497,1,2800.0,A1497,-74.00401306152342,40.742069244384766
A498,1,6020.0,A1498,-73.98408508300781,40.72550582885742
A499,1,3440.0,A1499,-73.96624755859375,40.753662109375
A500,1,5250.0,A1500,-74.00566101074217,40.740631103515625
A501,1,22010.0,A1501,-73.79057312011719,40.64485931396485
A502,1,760.0,A1502,-73.97708129882812,40.78007125854492
A503,1,2340.0,A1503,-73.99198913574217,40.758182525634766
A504,1,4690.0,A1504,-73.98576354980467,40.76224136352539
A505,1,1400.0,A1505,-73.95597839355469,40.70924377441406
A506,1,2400.0,A1506,-73.98158264160156,40.764324188232415
A507,1,870.0,A1507,-74.00619506835938,40.73395538330078
A508,1,340.0,A1508,-73.978759765625,40.75721740722656
A509,1,1450.0,A1509,-74.01669311523438,40.704788208007805
A510,1,2100.0,A1510,-73.97469329833984,40.750038146972656
A511,1,4600.0,A1511,-73.98160552978516,40.767311096191406
A512,1,6320.0,A1512,-73.94133758544923,40.79196166992188
A513,1,2690.0,A1513,-73.97888946533203,40.750015258789055
A514,1,1590.0,A1514,-73.99120330810547,40.74517059326172
A515,1,1130.0,A1515,-73.9875717163086,40.72439956665039
A516,1,2600.0,A1516,-73.97825622558594,40.76670837402344
A517,1,0.0,A1517,-73.99552154541014,40.74918365478516
A518,1,1680.0,A1518,-73.9891357421875,40.76331329345703
A519,1,2280.0,A1519,-73.98223876953125,40.751121520996094
A520,1,8189.999999999999,A1520,-73.78211212158203,40.644752502441406
A521,1,4510.0,A1521,-74.01165771484375,40.708290100097656
A522,1,1860.0,A1522,-73.98484802246092,40.74851989746094
A523,1,900.0,A1523,-73.98691558837889,40.75562286376953
A524,1,5510.0,A1524,-73.99983978271484,40.73317337036133
A525,1,1600.0,A1525,-73.98504638671875,40.72745895385742
A526,1,8900.0,A1526,-74.00006866455078,40.74354934692384
A527,1,1900.0,A1527,-73.975830078125,40.745071411132805
A528,1,1100.0,A1528,-73.9949951171875,40.74966049194336
A529,1,7200.0,A1529,-73.99052429199219,40.6866340637207
A530,1,3700.0,A1530,-73.99027252197266,40.76080322265625
A531,1,1470.0,A1531,-73.98831176757811,40.73736572265625
A532,1,10280.0,A1532,-73.99059295654298,40.74195098876953
A533,1,2100.0,A1533,-73.97830963134764,40.744876861572266
A534,1,4090.0,A1534,-73.99423980712889,40.751556396484375
A535,1,800.0,A1535,-74.00312042236328,40.74416732788086
A536,1,9100.0,A1536,-73.99049377441406,40.75740432739258
A537,1,5000.0,A1537,-73.99784851074217,40.71693420410156
A538,1,3800.0,A1538,-74.00823974609375,40.74055480957031
A539,1,1650.0,A1539,-74.00605010986328,40.71759033203125
A540,1,9300.0,A1540,-73.87308502197266,40.774028778076165
A541,1,3800.0,A1541,-74.00056457519531,40.717323303222656
A542,1,1110.0,A1542,-73.98587036132812,40.758567810058594
A543,1,1200.0,A1543,-73.99821472167967,40.74551010131836
A544,1,1300.0,A1544,-73.98190307617188,40.77286911010742
A545,1,1140.0,A1545,-73.97997283935547,40.75984954833984
A546,1,2600.0,A1546,-73.95465087890625,40.6867561340332
A547,1,18000.0,A1547,-73.77708435058595,40.64637756347656
A548,1,2300.0,A1548,-73.93443298339844,40.69855880737305
A549,1,960.0,A1549,-73.9955062866211,40.72489929199219
A550,1,1900.0,A1550,-73.98883056640625,40.71718215942384
A551,1,2480.0,A1551,-73.96238708496092,40.77027130126953
A552,1,2520.0,A1552,-73.98523712158203,40.7595100402832
A553,1,2400.0,A1553,-74.00569915771484,40.72575378417969
A554,1,2400.0,A1554,-73.98346710205078,40.75640869140625
A555,1,570.0,A1555,-73.97616577148438,40.763973236083984
A556,1,1800.0,A1556,-74.00066375732422,40.72897720336913
A557,1,600.0,A1557,-73.98100280761719,40.72947692871094
A558,1,8600.0,A1558,-73.86610412597656,40.77114868164063
A559,1,1130.0,A1559,-73.97399139404298,40.757110595703125
A560,1,910.0,A1560,-73.9512176513672,40.778541564941406
A561,1,2940.0,A1561,-73.9925079345703,40.71889114379882
A562,1,20380.0,A1562,-73.78922271728516,40.64763259887695
A563,1,4500.0,A1563,-73.98187255859375,40.72827911376953
A564,1,3700.0,A1564,-73.99897766113281,40.72003555297852
A565,1,1900.0,A1565,-73.99552154541014,40.76470184326172
A566,1,2000.0,A1566,-74.00721740722656,40.741188049316406
A567,1,4000.0,A1567,-73.9871597290039,40.74417495727539
A568,1,7200.0,A1568,-73.983642578125,40.74422836303711
A569,1,6900.0,A1569,-74.00889587402342,40.7161521911621
A570,1,3770.0,A1570,-73.99360656738281,40.7210807800293
A571,1,600.0,A1571,-73.98238372802734,40.72335815429688
A572,1,2910.0,A1572,-73.9996795654297,40.72838973999024
A573,1,550.0,A1573,-73.97113037109375,40.75864028930664
A574,1,5670.0,A1574,-73.98983764648438,40.75659942626953
A575,1,1200.0,A1575,-74.00625610351561,40.73159790039063
A576,1,1590.0,A1576,-73.98950958251953,40.680000305175774
A577,1,1900.0,A1577,-74.00070953369139,40.72067260742188
A578,1,5100.0,A1578,-73.95919799804686,40.65273666381836
A579,1,300.0,A1579,-73.99073028564453,40.724468231201165
A580,1,700.0,A1580,-73.98680877685547,40.72918701171875
A581,1,1100.0,A1581,-73.98602294921875,40.75698852539063
A582,1,1470.0,A1582,-73.98900604248048,40.76022338867188
A583,1,3000.0,A1583,-73.95763397216798,40.71767807006836
A584,1,1900.0,A1584,-73.96870422363281,40.75825119018555
A585,1,970.0,A1585,-73.96259307861328,40.767120361328125
A586,1,7200.0,A1586,-74.00878143310547,40.713428497314446
A587,1,4800.0,A1587,-73.96050262451173,40.77049255371094
A588,1,9920.0,A1588,-73.87316131591797,40.77412033081056
A589,1,1800.0,A1589,-73.98914337158203,40.758010864257805
A590,1,3200.0,A1590,-74.00665283203125,40.713733673095696
A591,1,2390.0,A1591,-73.98019409179686,40.7425193786621
A592,1,2870.0,A1592,-73.98023986816406,40.75910568237305
A593,1,1370.0,A1593,-73.99578857421875,40.75975036621094
A594,1,1500.0,A1594,-73.98448181152342,40.750099182128906
A595,1,700.0,A1595,-73.96602630615233,40.758262634277344
A596,1,2280.0,A1596,-73.9827651977539,40.750930786132805
A597,1,1780.0,A1597,-74.00295257568358,40.72824096679688
A598,1,1340.0,A1598,-73.99686431884764,40.76296615600586
A599,1,3000.0,A1599,-73.98037719726561,40.726295471191406
A600,1,1850.0,A1600,-73.9813232421875,40.724979400634766
A601,1,2000.0,A1601,-73.96737670898438,40.756057739257805
A602,1,1400.0,A1602,-73.98446655273438,40.740013122558594
A603,1,1600.0,A1603,-74.006591796875,40.738094329833984
A604,1,0.0,A1604,-73.97755432128906,40.7564697265625
A605,1,900.0,A1605,-74.00330352783203,40.738933563232415
A606,1,2050.0,A1606,-73.97832489013672,40.74486541748047
A607,1,1310.0,A1607,-73.96393585205078,40.76137161254882
A608,1,800.0,A1608,-73.98950958251953,40.7358512878418
A609,1,7000.0,A1609,-73.86309814453125,40.76985168457031
A610,1,2900.0,A1610,-73.98863983154298,40.74860000610352
A611,1,1200.0,A1611,-73.99408721923827,40.72673416137695
A612,1,2000.0,A1612,-73.98405456542967,40.72525787353516
A613,1,900.0,A1613,-74.00754547119139,40.725982666015625
A614,1,4200.0,A1614,-73.98399353027342,40.75524139404297
A615,1,1860.0,A1615,-74.00012969970702,40.74292755126953
A616,1,4700.0,A1616,-74.00821685791014,40.73688888549805
A617,1,9030.0,A1617,-73.99423980712889,40.7426986694336
A618,1,330.0,A1618,-73.95174407958984,40.77370071411133
A619,1,2240.0,A1619,-73.98152160644531,40.76470947265625
A620,1,5100.0,A1620,-74.00559234619139,40.74072265625
A621,1,710.0,A1621,-73.97990417480467,40.77585983276367
A622,1,2029.9999999999998,A1622,-73.9889144897461,40.743953704833984
A623,1,800.0,A1623,-73.9876251220703,40.732696533203125
A624,1,1380.0,A1624,-73.97827911376953,40.76662063598633
A625,1,2750.0,A1625,-73.97449493408203,40.765430450439446
A626,1,2290.0,A1626,-73.97708892822266,40.7263298034668
A627,1,5200.0,A1627,-73.99430084228516,40.7613525390625
A628,1,2400.0,A1628,-73.97215270996092,40.75982284545898
A629,1,5800.0,A1629,-73.98621368408203,40.72209548950195
A630,1,6700.0,A1630,-74.0071792602539,40.71592712402344
A631,1,4000.0,A1631,-73.9826431274414,40.76179122924805
A632,1,1080.0,A1632,-73.9850311279297,40.7791404724121
A633,1,500.0,A1633,-73.99082946777342,40.76089859008789
A634,1,22800.0,A1634,-73.9919662475586,40.72576522827149
A635,1,3600.0,A1635,-73.99029541015625,40.718841552734375
A636,1,2220.0,A1636,-74.00665283203125,40.74403381347656
A637,1,2080.0,A1637,-73.95713043212889,40.8019905090332
A638,1,1100.0,A1638,-73.9850311279297,40.74200820922852
A639,1,760.0,A1639,-73.98844146728516,40.727405548095696
A640,1,1200.0,A1640,-73.99364471435547,40.75698471069336
A641,1,5800.0,A1641,-74.00254821777344,40.73410034179688
A642,1,4000.0,A1642,-73.97083282470702,40.75555038452149
A643,1,6200.0,A1643,-74.00281524658203,40.72810745239258
A644,1,3240.0,A1644,-73.9857177734375,40.73823165893555
A645,1,3810.0,A1645,-74.00199127197266,40.72441864013672
A646,1,20200.0,A1646,-73.78096008300781,40.6450653076172
A647,1,8790.0,A1647,-73.87089538574217,40.773792266845696
A648,1,2200.0,A1648,-73.97370910644531,40.76416397094727
A649,1,500.0,A1649,-73.98731994628906,40.733154296875
A650,1,2920.0,A1650,-73.97318267822266,40.75792694091797
A651,1,8260.0,A1651,-73.95552825927734,40.714088439941406
A652,1,1300.0,A1652,-73.99842071533203,40.7338981628418
A653,1,4100.0,A1653,-74.00250244140625,40.73971176147461
A654,1,400.0,A1654,-73.97274780273438,40.75279998779297
A655,1,910.0,A1655,-73.98422241210938,40.756980895996094
A656,1,2140.0,A1656,-74.00971221923827,40.738128662109375
A657,1,2200.0,A1657,-73.96880340576173,40.759254455566406
A658,1,1590.0,A1658,-73.9894027709961,40.7180290222168
A659,1,2660.0,A1659,-73.968017578125,40.79228973388672
A660,1,1330.0,A1660,-73.9853286743164,40.74747085571289
A661,1,360.0,A1661,-73.98802185058595,40.754390716552734
A662,1,9470.0,A1662,-73.8709487915039,40.77368927001953
A663,1,2820.0,A1663,-73.97413635253906,40.75104904174805
