,DeviceId,ArrivalTime,DepartureTime,duration*60,Area
309,17597,1486519791,1486520039,7200,Docklands
310,17222,1486519792,1486519936,7200,Docklands
311,20234,1486519792,1486520218,14400,Queensberry
312,20544,1486520340,1486522910,7200,Queensberry
313,17531,1486520348,1486521611,7200,Docklands
314,17335,1486520351,1486521212,7200,Docklands
315,17417,1486520354,1486521411,900,Docklands
316,17265,1486520355,1486521444,900,Docklands
317,17267,1486520355,1486522481,900,Docklands
318,17755,1486520361,1486520780,7200,Docklands
319,17583,1486520361,1486521419,7200,Docklands
320,17447,1486520361,1486520539,7200,Docklands
321,21801,1486520363,1486521543,7200,Southbank
322,20406,1486520366,1486532176,14400,Queensberry
323,21370,1486520368,1486521220,600,Southbank
324,17498,1486520369,1486520701,1800,Docklands
325,21760,1486520377,1486527160,7200,Southbank
326,17605,1486520381,1486521247,3600,Docklands
327,17613,1486520382,1486520713,7200,Docklands
328,17401,1486520387,1486520417,1800,Docklands
329,20151,1486520387,1486530210,14400,Queensberry
330,17350,1486520388,1486521716,900,Docklands
331,17398,1486520397,1486520494,7200,Docklands
332,21740,1486520399,1486520859,7200,Southbank
333,17738,1486520942,1486527371,7200,Docklands
334,17783,1486520942,1486526561,7200,Docklands
335,17445,1486520943,1486522111,300,Docklands
336,20581,1486520946,1486521758,7200,Queensberry
337,20348,1486520947,1486521055,3600,Queensberry
338,17674,1486520949,1486528398,7200,Docklands
339,17329,1486520949,1486521034,900,Docklands
340,21621,1486520953,1486522453,7200,Southbank
341,17764,1486520954,1486521178,7200,Docklands
342,20527,1486520954,1486538586,14400,Queensberry
343,17585,1486520958,1486521073,7200,Docklands
344,17679,1486520959,1486527679,7200,Docklands
345,21435,1486520959,1486522994,7200,Southbank
346,21740,1486520961,1486521292,7200,Southbank
347,17230,1486520965,1486521359,7200,Docklands
348,17725,1486520965,1486524781,7200,Docklands
349,17430,1486520966,1486521300,900,Docklands
350,17529,1486520967,1486521089,7200,Docklands
351,17574,1486520967,1486521420,1800,Docklands
352,20005,1486520968,1486522472,10800,Queensberry
353,21389,1486520974,1486527062,7200,Southbank
354,17431,1486520977,1486524665,900,Docklands
355,21690,1486520977,1486521442,10800,Southbank
356,20029,1486520978,1486535774,3600,Queensberry
357,21614,1486520982,1486521216,7200,Southbank
358,17309,1486520983,1486528272,7200,Docklands
359,17784,1486520987,1486521053,7200,Docklands
360,17460,1486520987,1486521265,900,Docklands
361,21576,1486520988,1486524253,7200,Southbank
362,17334,1486520991,1486522914,900,Docklands
363,21604,1486520995,1486522034,7200,Southbank
364,17204,1486520998,1486524537,7200,Docklands
365,21612,1486520999,1486528615,7200,Southbank
366,21399,1486521541,1486521574,10800,Southbank
367,17650,1486521543,1486521713,900,Docklands
368,21801,1486521543,1486524663,7200,Southbank
369,19910,1486521543,1486526101,3600,Queensberry
370,17514,1486521544,1486524740,1800,Docklands
371,21762,1486521548,1486537254,7200,Southbank
372,17605,1486521549,1486524384,3600,Docklands
373,20548,1486521549,1486521854,7200,Queensberry
374,20462,1486521550,1486521792,1800,Queensberry
375,17278,1486521551,1486521594,14400,Docklands
376,17556,1486521552,1486528860,7200,Docklands
377,17443,1486521553,1486522193,300,Docklands
378,21369,1486521555,1486521561,600,Southbank
379,17652,1486521558,1486521568,900,Docklands
380,17715,1486521559,1486522727,900,Docklands
381,21369,1486521561,1486521847,600,Southbank
382,17743,1486521564,1486522972,7200,Docklands
383,17173,1486521565,1486521769,600,Docklands
384,17652,1486521568,1486521652,900,Docklands
385,17507,1486521571,1486522901,1800,Docklands
386,17713,1486521571,1486527664,900,Docklands
387,17573,1486521572,1486521754,7200,Docklands
388,17654,1486521573,1486522777,900,Docklands
389,17216,1486521574,1486522202,300,Docklands
390,21399,1486521574,1486532935,10800,Southbank
391,21581,1486521577,1486521668,7200,Southbank
392,20094,1486521578,1486521679,7200,Queensberry
393,17404,1486521582,1486521650,7200,Docklands
394,17401,1486521582,1486524035,1800,Docklands
395,21566,1486521582,1486523009,7200,Southbank
396,17470,1486521585,1486521675,7200,Docklands
397,17745,1486521589,1486525886,7200,Docklands
398,17671,1486521590,1486522885,1800,Docklands
399,21878,1486521593,1486522376,900,Southbank
400,17278,1486521594,1486535244,14400,Docklands
401,17300,1486521596,1486522250,7200,Docklands
402,17228,1486521596,1486521788,7200,Docklands
403,21370,1486521597,1486521603,600,Southbank
404,17576,1486521599,1486523393,1800,Docklands
405,20462,1486522140,1486522546,1800,Queensberry
406,20353,1486522143,1486522905,3600,Queensberry
407,17593,1486522146,1486526358,7200,Docklands
408,20109,1486522151,1486522594,7200,Queensberry
409,21347,1486522153,1486522968,7200,Southbank
410,17435,1486522154,1486523264,600,Docklands
411,17704,1486522154,1486524167,900,Docklands
412,17406,1486522155,1486522324,300,Docklands
413,17187,1486522156,1486522507,3600,Docklands
414,17185,1486522160,1486522700,3600,Docklands
415,17498,1486522160,1486525468,1800,Docklands
416,17386,1486522161,1486526692,7200,Docklands
417,20356,1486522163,1486522559,900,Queensberry
418,21597,1486522164,1486525254,7200,Southbank
419,17233,1486522165,1486526093,7200,Docklands
420,17444,1486522175,1486522567,300,Docklands
421,21369,1486522175,1486522467,600,Southbank
422,21370,1486522177,1486522190,600,Southbank
423,17209,1486522186,1486522501,900,Docklands
424,17395,1486522187,1486533362,7200,Docklands
425,21370,1486522190,1486522500,600,Southbank
426,21420,1486522192,1486522252,3600,Southbank
427,17443,1486522193,1486522559,300,Docklands
428,17764,1486522194,1486522745,7200,Docklands
429,20510,1486522196,1486524979,900,Queensberry
430,20366,1486522197,1486522784,7200,Queensberry
431,17458,1486522199,1486522218,1800,Docklands
432,17724,1486522199,1486522844,600,Docklands
433,20259,1486522199,1486527826,7200,Queensberry
434,17587,1486522740,1486526602,7200,Docklands
435,17764,1486522745,1486522805,7200,Docklands
436,17170,1486522746,1486523045,600,Docklands
437,21484,1486522749,1486529132,10800,Southbank
438,17302,1486522751,1486523363,900,Docklands
439,17383,1486522755,1486522911,7200,Docklands
440,21878,1486522759,1486523056,900,Southbank
441,17726,1486522762,1486524492,600,Docklands
442,21635,1486522776,1486522996,7200,Southbank
443,17654,1486522777,1486522962,900,Docklands
444,17592,1486522778,1486528832,7200,Docklands
445,21799,1486522778,1486524164,7200,Southbank
446,17346,1486522785,1486529789,7200,Docklands
447,21652,1486522786,1486524419,10800,Southbank
448,20369,1486522786,1486522892,7200,Queensberry
449,17370,1486522788,1486523138,900,Docklands
450,17628,1486522788,1486522794,7200,Docklands
451,17442,1486522791,1486523004,300,Docklands
452,17628,1486522794,1486523292,7200,Docklands
453,17322,1486523340,1486531001,7200,Docklands
454,20060,1486523340,1486523646,14400,Queensberry
455,17207,1486523343,1486526541,900,Docklands
456,17194,1486523343,1486526463,7200,Docklands
457,21356,1486523348,1486525046,3600,Southbank
458,20156,1486523348,1486523729,14400,Queensberry
459,17719,1486523351,1486524079,900,Docklands
460,17221,1486523352,1486529346,7200,Docklands
461,17185,1486523353,1486523401,3600,Docklands
462,17265,1486523356,1486524769,900,Docklands
463,17235,1486523357,1486528047,7200,Docklands
464,17263,1486523360,1486524760,900,Docklands
465,17302,1486523363,1486524695,900,Docklands
466,17625,1486523365,1486523855,7200,Docklands
467,17687,1486523365,1486523380,1800,Docklands
468,17323,1486523367,1486527499,7200,Docklands
469,17483,1486523368,1486527005,1800,Docklands
470,17211,1486523369,1486531037,7200,Docklands
471,17415,1486523375,1486523645,900,Docklands
472,17698,1486523376,1486526026,1800,Docklands
473,20315,1486523376,1486523446,14400,Queensberry
474,17271,1486523378,1486525982,900,Docklands
475,21368,1486523379,1486523391,600,Southbank
476,17687,1486523380,1486523497,1800,Docklands
477,17709,1486523380,1486524533,900,Docklands
478,17691,1486523383,1486524408,1800,Docklands
479,17177,1486523384,1486524603,1800,Docklands
480,17189,1486523387,1486523480,3600,Docklands
481,19918,1486523390,1486524658,7200,Queensberry
482,21368,1486523391,1486523951,600,Southbank
483,17170,1486523392,1486524239,600,Docklands
484,17576,1486523393,1486523608,1800,Docklands
485,17742,1486523397,1486523461,7200,Docklands
486,20378,1486523398,1486523801,900,Queensberry
487,17281,1486523941,1486523984,3600,Docklands
488,21370,1486523941,1486523950,600,Southbank
489,21750,1486523942,1486526974,7200,Southbank
490,20511,1486523943,1486525648,900,Queensberry
491,17633,1486523944,1486530909,7200,Docklands
492,21715,1486523946,1486532013,7200,Southbank
493,21370,1486523950,1486524188,600,Southbank
494,21368,1486523951,1486523961,600,Southbank
495,17759,1486523952,1486524951,7200,Docklands
496,17404,1486523952,1486524060,7200,Docklands
497,17771,1486523955,1486523990,7200,Docklands
498,17338,1486523956,1486524792,7200,Docklands
499,17228,1486523956,1486524219,7200,Docklands
500,20560,1486523957,1486525199,7200,Queensberry
501,21368,1486523961,1486524205,600,Southbank
502,21629,1486523962,1486524543,7200,Southbank
503,17230,1486523964,1486523971,7200,Docklands
504,21402,1486523964,1486525070,7200,Southbank
505,17185,1486523966,1486524077,3600,Docklands
506,17276,1486523968,1486524958,3600,Docklands
507,21440,1486523969,1486524198,7200,Southbank
508,17430,1486523970,1486524510,900,Docklands
509,17230,1486523971,1486524220,7200,Docklands
510,17216,1486523973,1486524969,300,Docklands
511,21404,1486523973,1486531304,7200,Southbank
512,17364,1486523974,1486524810,7200,Docklands
513,17681,1486523976,1486524875,900,Docklands
514,17333,1486523979,1486524812,900,Docklands
515,17521,1486523980,1486526659,7200,Docklands
516,17764,1486523981,1486527826,7200,Docklands
517,17677,1486523982,1486524132,1800,Docklands
518,17187,1486523982,1486524056,3600,Docklands
519,17281,1486523984,1486528383,3600,Docklands
520,17771,1486523990,1486532165,7200,Docklands
521,20543,1486523993,1486531373,7200,Queensberry
522,21655,1486523998,1486530511,10800,Southbank
523,20504,1486523999,1486526475,3600,Queensberry
524,17589,1486524540,1486530501,7200,Docklands
525,21629,1486524543,1486528040,7200,Southbank
526,20377,1486524547,1486524867,900,Queensberry
527,21604,1486524549,1486527647,7200,Southbank
528,17555,1486524552,1486526298,7200,Docklands
529,17292,1486524554,1486524602,900,Docklands
530,17188,1486524555,1486525225,900,Docklands
531,17430,1486524555,1486525837,900,Docklands
532,17182,1486524558,1486524738,1800,Docklands
533,17290,1486524558,1486525469,900,Docklands
534,17753,1486524558,1486528811,7200,Docklands
535,17737,1486524563,1486525314,7200,Docklands
536,20554,1486524566,1486528895,7200,Queensberry
537,17291,1486524569,1486525019,7200,Docklands
538,17730,1486524570,1486531215,7200,Docklands
539,17607,1486524570,1486524671,7200,Docklands
540,20381,1486524572,1486538199,14400,Queensberry
541,20347,1486524575,1486524892,3600,Queensberry
542,20582,1486524578,1486525316,7200,Queensberry
543,19971,1486524580,1486539398,14400,Queensberry
